landbase,discount_rate,flow_policy,period,projected_mcf,realized_mcf
1,0.06,NHF,15,11500.0,11500.0
1,0.06,NDY,1,10166.706717509504,10166.706717509504
1,0.06,NDY,2,10166.706717509504,10145.833031715361
1,0.06,NDY,3,10166.706717509504,10033.535241402438
1,0.06,NDY,4,10166.706717509504,9931.943675308496
1,0.06,NDY,5,10166.706717509504,9931.943675369954
1,0.06,NDY,6,10166.706717509505,8685.976887771036
1,0.06,NDY,7,10166.706717509505,8549.3521713381
1,0.06,NDY,8,10166.706717509493,9684.791201897064
1,0.06,NDY,9,10166.706717509493,9673.287534465135
1,0.06,NDY,10,10166.706717509494,9636.865815814566
1,0.06,NDY,11,10166.706717509494,9580.252570979896
1,0.06,NDY,12,10166.706717509496,9420.72755252825
1,0.06,NDY,13,10166.706717509505,8178.621933570491
1,0.06,NDY,14,10166.706717509493,8178.621937879999
1,0.06,NDY,15,10166.706717509489,9493.400137946643
1,0.06,-10%,1,15108.304397098342,15108.304397098342
1,0.06,-10%,2,13597.473957388505,13597.47395699858
1,0.06,-10%,3,12237.726561649644,12237.726562565233
1,0.06,-10%,4,11013.953905484686,11013.953908644165
1,0.06,-10%,5,9912.55851493622,7105.433254625575
1,0.06,-10%,6,8921.3026634426,6394.88993294525
1,0.06,-10%,7,8029.1723970983385,8029.172397799999
1,0.06,-10%,8,7226.255157388504,7226.255156089999
1,0.06,-10%,9,12420.701263733588,12533.04804647
1,0.06,-10%,10,11358.477212154155,12270.580639407292
1,0.06,-10%,11,10222.629490938736,11043.522576547117
1,0.06,-10%,12,9200.366541844865,9939.170318624467
1,0.06,-10%,13,8280.32988766038,6189.741760010526
1,0.06,-10%,14,7452.296898894333,5570.7675839
1,0.06,-10%,15,14247.625911221488,10238.175268463157
1,0.06,-20%,1,19188.38364125249,19188.38364125249
1,0.06,-20%,2,15350.706913001992,15350.70691413397
1,0.06,-20%,3,12280.565530401598,12280.565529891224
1,0.06,-20%,4,9824.45242432128,9824.452425288007
1,0.06,-20%,5,7859.56193945702,4896.485272744944
1,0.06,-20%,6,6287.649551565622,3917.1882204773
1,0.06,-20%,7,5030.119641252497,5030.11963812
1,0.06,-20%,8,15052.23412702177,15052.23412176
1,0.06,-20%,9,14438.098683768012,14438.098683740001
1,0.06,-20%,10,11550.478947014408,12890.80475922711
1,0.06,-20%,11,9240.383157611519,9181.684868111111
1,0.06,-20%,12,7392.306526089214,6908.660702270699
1,0.06,-20%,13,5913.8452208713725,5074.403015544582
1,0.06,-20%,14,4731.076176697096,4059.522414425
1,0.06,-20%,15,19650.832558352387,13337.800590433333
1,0.06,+/-10%,1,15108.304397098342,15108.304397098342
1,0.06,+/-10%,2,13597.473957388514,13597.473956998585
1,0.06,+/-10%,3,12237.726561649652,12237.726562876269
1,0.06,+/-10%,4,11013.953905484694,11013.953904808835
1,0.06,+/-10%,5,9912.558514936212,8110.275149292927
1,0.06,+/-10%,6,8921.302663442588,7299.247633776074
1,0.06,+/-10%,7,8029.172397098337,8029.172397799999
1,0.06,+/-10%,8,8832.089636808169,8832.08963565
1,0.06,+/-10%,9,9715.29860048899,9859.552749881066
1,0.06,+/-10%,10,10686.828460537887,12582.51231350471
1,0.06,+/-10%,11,11174.48305076731,11324.26108162337
1,0.06,+/-10%,12,10057.034745690575,10191.834976339998
1,0.06,+/-10%,13,9051.331271121526,8029.172397799999
1,0.06,+/-10%,14,8146.19814400937,6956.801722656489
1,0.06,+/-10%,15,8960.81795841031,10199.074084873682
1,0.06,+/-20%,1,19188.383641252487,19188.383641252487
1,0.06,+/-20%,2,15350.706913001992,15350.706915297742
1,0.06,+/-20%,3,12280.565530401596,12280.565533260095
1,0.06,+/-20%,4,9824.452424321276,9824.452426276033
1,0.06,+/-20%,5,7859.561939457018,7859.561936907566
1,0.06,+/-20%,6,6287.6495515656225,6287.649554842299
1,0.06,+/-20%,7,7545.1794618787335,7545.179464839999
1,0.06,+/-20%,8,9054.215354254486,11524.87869186
1,0.06,+/-20%,9,10865.05842510538,11163.793910359998
1,0.06,+/-20%,10,13038.070110126462,12681.413061271285
1,0.06,+/-20%,11,11297.652257728463,10145.130449272721
1,0.06,+/-20%,12,9038.121806182779,7694.800504058263
1,0.06,+/-20%,13,7230.497444946213,6155.840404213664
1,0.06,+/-20%,14,5784.397955956974,6068.661328164999
1,0.06,+/-20%,15,6941.277547148368,11479.515651733334
2,0.0,NHF,1,9378.77,9378.77
2,0.0,NHF,2,0.0,0.0
2,0.0,NHF,3,51330.25,0.0
2,0.0,NHF,4,0.0,0.0
2,0.0,NHF,5,21113.2075,72443.4575
2,0.0,NHF,6,0.0,0.0
2,0.0,NHF,7,0.0,0.0
2,0.0,NHF,8,14375.0,14375.0
2,0.0,NHF,9,38300.0,0.0
2,0.0,NHF,10,0.0,0.0
2,0.0,NHF,11,0.0,38300.0
2,0.0,NHF,12,0.0,0.0
2,0.0,NHF,13,26850.0,26850.0
2,0.0,NHF,14,0.0,0.0
2,0.0,NHF,15,52675.0,14375.0
2,0.0,NDY,1,11732.335530450631,11732.335530450631
2,0.0,NDY,2,11732.335530450631,11681.64866183095
2,0.0,NDY,3,11732.335530450633,11248.50729912943
2,0.0,NDY,4,11732.335530450631,10182.741216019243
2,0.0,NDY,5,11732.335530450633,10161.220048736166
2,0.0,NDY,6,11732.335530450633,10187.212161055333
2,0.0,NDY,7,11732.335530450624,10302.46282188051
2,0.0,NDY,8,11732.335530450631,10929.259108701091
2,0.0,NDY,9,11732.335530450633,10477.502212892385
2,0.0,NDY,10,11732.335530450631,10800.0576445282
2,0.0,NDY,11,11732.335530450631,10477.312666042522
2,0.0,NDY,12,11732.335530450631,10429.945686162508
2,0.0,NDY,13,11732.335530450626,10665.529484468183
2,0.0,NDY,14,11732.33553045063,10450.02918523036
2,0.0,NDY,15,23464.671060901266,10223.189271114301
2,0.0,-10%,1,17462.523929750576,17462.523929750576
2,0.0,-10%,2,15716.271536775515,15716.271537085811
2,0.0,-10%,3,14144.644383097966,10024.234350090703
2,0.0,-10%,4,12730.179944788168,1977.32405105082
2,0.0,-10%,5,11457.161950309352,14858.723417110783
2,0.0,-10%,6,10311.445755278426,12197.464125995724
2,0.0,-10%,7,9280.30117975058,9280.301178540001
2,0.0,-10%,8,8352.271061775522,13132.483537937429
2,0.0,-10%,9,7517.04395559797,12180.496807705833
2,0.0,-10%,10,6765.339560038173,8659.867074830127
2,0.0,-10%,11,6088.805604034355,11086.817363060001
2,0.0,-10%,12,5479.925043630919,2468.280007420521
2,0.0,-10%,13,4931.932539267827,15020.353508729273
2,0.0,-10%,14,4438.73928534105,15303.805886778544
2,0.0,-10%,15,66673.36498568747,13556.652468456477
2,0.0,-20%,1,22178.372880345214,22178.372880345214
2,0.0,-20%,2,17742.698304276175,17742.698305064714
2,0.0,-20%,3,14194.158643420935,0.0
2,0.0,-20%,4,11355.32691473675,10014.364763111727
2,0.0,-20%,5,9084.261531789401,13384.592140704824
2,0.0,-20%,6,7267.409225431527,7152.170562330623
