landbase,discount_rate,flow_policy,max_decrease,max_increase,horizon,max_abs_rel_deviation,mean_abs_rel_deviation,total_projected,total_realized,total_rel_change,occurrence,occurrence_tolerance
8,0.0,-20%,0.2,,15,0.9525376273702982,0.40751781611334426,187047.80443604232,146497.70481255543,-0.21679003261090019,True,0.05
8,0.0,+/-10%,0.1,0.1,15,0.7149829290233418,0.446640045852977,86920.43202853159,165198.97972959804,0.9005770665678646,True,0.05
8,0.0,+/-20%,0.2,0.2,15,0.6580162551709092,0.32813998502602737,165658.6577173379,164812.12734701548,-0.005110088310427057,True,0.05
8,0.02,NHF,,,15,0.0,0.0,178200.00000000003,178200.00000000003,0.0,False,0.05
8,0.02,NDY,0.0,,15,0.1727864908518193,0.0520683833670363,177190.56117958354,166522.7459427907,-0.06020532451489307,True,0.05
8,0.02,-10%,0.1,,15,0.19348220849574593,0.05209108692534805,180299.33862737982,169031.0781841564,-0.06249751401757092,True,0.05
8,0.02,-20%,0.2,,15,0.39097484883674827,0.11021653688212303,179117.12772551386,174106.40165488663,-0.027974578055460195,True,0.05
8,0.02,+/-10%,0.1,0.1,15,0.8209468518043861,0.44256868316589426,86920.43202853148,167597.11421084942,0.9281670638249471,True,0.05
8,0.02,+/-20%,0.2,0.2,15,0.830907117074123,0.36749314200260697,160009.94580842124,167616.21152118404,0.047536205792293264,True,0.05
8,0.04,NHF,,,15,0.0,0.0,178200.00000000003,178200.00000000003,0.0,False,0.05
8,0.04,NDY,0.0,,15,0.18543654419204808,0.0634787234726109,176975.124912131,164127.7624527248,-0.07259417088014475,True,0.05
8,0.04,-10%,0.1,,15,0.18972587283793166,0.0505935661768359,180299.33862737982,169266.15625461724,-0.06119369298167307,True,0.05
8,0.04,-20%,0.2,,15,0.022899937252647867,0.00763331245057894,175663.05902992358,174210.40253364274,-0.008269561650030122,False,0.05
8,0.04,+/-10%,0.1,0.1,15,0.8224097221432408,0.4330447114214799,86920.43202853148,168287.32609123833,0.9361077961048136,True,0.05
8,0.04,+/-20%,0.2,0.2,15,0.8309071170741229,0.3399945403848098,153573.5832068364,171656.81526497306,0.11774962646916792,True,0.05
8,0.06,NHF,,,15,0.0,0.0,178200.00000000003,178200.00000000003,0.0,False,0.05
8,0.06,NDY,0.0,,15,0.17835010650651592,0.06930349264963725,176186.23598568898,162522.5306287449,-0.07755262651762393,True,0.05
8,0.06,-10%,0.1,,15,0.18846308997553707,0.050256824093193465,180299.33862737982,169339.59122154364,-0.06078639827119068,True,0.05
8,0.06,-20%,0.2,,15,0.0012383768812056183,0.0004953507100219805,173850.77778137528,173751.2921460331,-0.0005722472836289012,False,0.05
8,0.06,+/-10%,0.1,0.1,15,0.8225971021612316,0.43662891198814324,86920.43202853146,168637.39321122633,0.9401352395012422,True,0.05
8,0.06,+/-20%,0.2,0.2,15,0.8324691875484318,0.36222297843947865,148733.36708568613,173414.62077204787,0.1659429499242274,True,0.05
9,0.0,NHF,,,15,1.0,0.5739214466972447,164359.54898157952,110704.31108735494,-0.3264503840920003,True,0.05
9,0.0,NDY,0.0,,15,0.7564352511199214,0.11524370341134947,162510.3980632491,127664.1611933014,-0.2144246601155055,True,0.05
9,0.0,-10%,0.1,,15,0.7644912310953083,0.24099931982124045,164569.31878869576,127621.09613021562,-0.2245146478726149,True,0.05
9,0.0,-20%,0.2,,15,0.8501577820424301,0.28783129075886743,164366.09315375096,121077.3855904471,-0.26336762487145593,True,0.05
9,0.0,+/-10%,0.1,0.1,15,0.38418707107675376,0.13665917322483093,158836.53078551122,136647.57865506032,-0.13969678146908338,True,0.05
9,0.0,+/-20%,0.2,0.2,15,0.5067435705055312,0.17903246910658363,160216.27607330756,138874.32196376356,-0.1332071536838049,True,0.05
9,0.02,NHF,,,15,0.25912774392081783,0.052011507350276716,151971.35922360298,151024.64869993797,-0.006229532515216025,True,0.05
9,0.02,NDY,0.0,,15,0.16313419892408326,0.09979855593301844,165170.29293904197,148686.53622069198,-0.09979855593301827,True,0.05
9,0.02,-10%,0.1,,15,0.19974690567791314,0.051494490889848074,151897.34142361526,149132.04541705005,-0.01820503229778911,True,0.05
9,0.02,-20%,0.2,,15,0.24393718784505514,0.032174890866450596,152279.474369771,149843.99413217686,-0.01599348991499805,False,0.05
9,0.02,+/-10%,0.1,0.1,15,0.16284324961612687,0.04286050676354027,151740.54990849184,148571.11085660598,-0.020887225292100284,False,0.05
9,0.02,+/-20%,0.2,0.2,15,0.25111866251640513,0.032840964733266614,151217.22137116402,148701.88043669923,-0.016633958167309983,False,0.05
9,0.04,NHF,,,15,3.1474286019887113e-16,2.098285734659141e-17,150242.19256177795,150242.19256177795,0.0,False,0.05
9,0.04,NDY,0.0,,15,0.197692874509052,0.11014594516941044,165220.61337089312,147022.23274968637,-0.11014594516941037,True,0.05
9,0.04,-10%,0.1,,15,0.13210425459289765,0.046080677496223986,154597.931785159,148440.56894320887,-0.03982823554526497,False,0.05
9,0.04,-20%,0.2,,15,0.09104917460795113,0.03162818420792151,151508.53419501224,149100.3257248602,-0.015894870100534118,False,0.05
9,0.04,+/-10%,0.1,0.1,15,0.13056908615675,0.04674846125395381,155657.2590942295,148403.17783021592,-0.04660291017730308,False,0.05
