landbase,discount_path,path_family,discount_rate,flow_policy,period,projected_mcf,realized_mcf
1,invj-4pc-k1,inverse-j,0.04,NDY,14,9619.61005184014,8528.506576065678
1,invj-4pc-k1,inverse-j,0.04,NDY,15,22702.111104750453,8452.411724115987
1,invj-4pc-k1,inverse-j,0.04,-10%,1,13970.01914380047,13970.01914380047
1,invj-4pc-k1,inverse-j,0.04,-10%,2,12573.017229420415,12573.017229459627
1,invj-4pc-k1,inverse-j,0.04,-10%,3,11315.715506478375,11315.715506218101
1,invj-4pc-k1,inverse-j,0.04,-10%,4,10184.143955830536,10184.143956074411
1,invj-4pc-k1,inverse-j,0.04,-10%,5,9165.72956024748,9165.729560843061
1,invj-4pc-k1,inverse-j,0.04,-10%,6,8249.156604222728,8249.156605177797
1,invj-4pc-k1,inverse-j,0.04,-10%,7,7424.24094380046,7424.2409413
1,invj-4pc-k1,inverse-j,0.04,-10%,8,6681.816849420415,8226.895309048912
1,invj-4pc-k1,inverse-j,0.04,-10%,9,6013.635164478374,8417.974726769102
1,invj-4pc-k1,inverse-j,0.04,-10%,10,5412.271648030535,7606.555831837193
1,invj-4pc-k1,inverse-j,0.04,-10%,11,4871.044483227481,6845.9002465131525
1,invj-4pc-k1,inverse-j,0.04,-10%,12,4383.940034904734,6161.310223762501
1,invj-4pc-k1,inverse-j,0.04,-10%,13,3945.546031414261,12963.496109510212
1,invj-4pc-k1,inverse-j,0.04,-10%,14,6045.726213347412,11419.200811712819
1,invj-4pc-k1,inverse-j,0.04,-10%,15,50843.95720347543,10634.664580613555
1,invj-4pc-k1,inverse-j,0.04,-20%,1,17742.698304276175,17742.698304276175
1,invj-4pc-k1,inverse-j,0.04,-20%,2,14194.158643420944,14194.15864548544
1,invj-4pc-k1,inverse-j,0.04,-20%,3,11355.32691473675,11355.326918803814
1,invj-4pc-k1,inverse-j,0.04,-20%,4,9084.2615317894,9084.261536551703
1,invj-4pc-k1,inverse-j,0.04,-20%,5,7267.409225431522,7267.409231574926
1,invj-4pc-k1,inverse-j,0.04,-20%,6,5813.927380345216,5813.927388075037
1,invj-4pc-k1,inverse-j,0.04,-20%,7,7640.32577775829,7640.32578024
1,invj-4pc-k1,inverse-j,0.04,-20%,8,11177.281836384765,12296.669411168548
1,invj-4pc-k1,inverse-j,0.04,-20%,9,8941.825469107815,9837.33553159
