landbase,discount_rate,period,projected_mcf,realized_mcf
8,0.02,1,2735.71428462,2735.71428462
8,0.02,2,2875.0000008625,2875.0000008625
8,0.02,3,2875.0000008625,2875.0000008625
8,0.02,4,2875.0000008625,2875.0000008625
8,0.02,5,2875.0000008625,2875.0000008625
8,0.02,6,2875.0000008625,2875.0000008625
8,0.02,7,2875.0000008625,2875.0000008625
8,0.02,8,2875.0000008625,2875.0000008625
8,0.02,9,2875.0000008625,2875.0000008625
8,0.02,10,2875.0000008624997,2875.0000008625
8,0.02,11,2875.0000008625,2875.0000008625007
8,0.02,12,2875.0000008625,2875.0000008625007
8,0.02,13,2875.0000008625,2875.0000017250004
8,0.02,14,2875.0000008625,2875.0000008625
8,0.02,15,2875.0000008625,2875.0000008625
8,0.04,1,2735.71428462,2735.71428462
8,0.04,2,2875.0000008625,2875.0000008625
8,0.04,3,2875.0000008625,2875.0000008625
8,0.04,4,2875.0000008625,2875.0000008625
8,0.04,5,2875.0000008625,2875.0000008625
8,0.04,6,2875.0000008625,2875.0
8,0.04,7,2875.0000008625,2875.0000008625
8,0.04,8,2875.0000008625,2875.0000008625
8,0.04,9,2875.0000008625,2875.0000017231932
8,0.04,10,2875.0000008624997,2875.0000008624997
8,0.04,11,2875.0000008625,2875.0
8,0.04,12,2875.0000008625,2875.0000008625
8,0.04,13,2875.0000008625,2875.0
8,0.04,14,2875.0000008625,2875.0000008625
8,0.04,15,2875.0000008625,2875.0000008625
8,0.06,1,2735.71428462,2735.71428462
8,0.06,2,2875.0000008625,2875.0000008625
8,0.06,3,2875.0000008625,2875.0000008625
8,0.06,4,2875.0000008625,2875.0000008625
8,0.06,5,2875.0000008625,2875.0000008625
8,0.06,6,2875.0000008625,2875.0000008625
8,0.06,7,2875.0000008625,2875.0000008625
8,0.06,8,2875.0000008625,2875.0000008625
8,0.06,9,2875.0000008625,2875.0000008625
8,0.06,10,2875.0000008624997,2875.000001833587
8,0.06,11,2875.0000008625,2875.0000008625
8,0.06,12,2875.0000008625,2875.000002588103
8,0.06,13,2875.0000008625,2875.0
8,0.06,14,2875.0000008625,2875.0000008625007
8,0.06,15,2875.0000008625,2875.0000008625
9,0.0,1,9469.058361644526,9469.058361644524
9,0.0,2,9469.058361644524,9469.058361644526
9,0.0,3,9469.058361644524,9469.058361644524
9,0.0,4,9469.058361644524,9469.058361644524
9,0.0,5,9469.058361644524,9469.058361644524
9,0.0,6,9469.058361644526,9469.058361644524
9,0.0,7,9469.058361644524,9469.058361644526
9,0.0,8,9469.058361644524,9469.058361644524
9,0.0,9,9469.058361644526,9469.058361644527
9,0.0,10,9469.058361644526,9469.058361644527
9,0.0,11,9469.058361644527,9469.058361644526
9,0.0,12,9469.058361644524,9469.058361644526
9,0.0,13,9469.058361644526,9469.058361644524
9,0.0,14,9469.058361644524,9469.058361644526
9,0.0,15,9469.058361644526,9469.058361644526
9,0.02,1,9880.756551281245,9880.756551281243
9,0.02,2,9880.756551281243,9880.756551281242
9,0.02,3,9880.756551281245,9880.756551281242
9,0.02,4,9880.756551281243,9880.756551281245
9,0.02,5,9880.756551281243,9880.756551281243
9,0.02,6,9880.756551281243,9880.756551281245
9,0.02,7,9880.756551281245,9880.756551281243
9,0.02,8,9880.756551281243,9880.756551281243
9,0.02,9,9880.756551281245,9880.756551281243
9,0.02,10,9880.756551281243,9880.756551281245
9,0.02,11,9880.756551281245,9880.756551281245
9,0.02,12,9880.756551281243,9880.756551281243
9,0.02,13,9880.756551281243,9880.756551281243
9,0.02,14,8716.408073324894,9880.756551281243
9,0.02,15,9880.756551281243,9710.982169291998
9,0.04,1,9777.832003872065,9777.832003872065
9,0.04,2,9777.832003872061,9777.832003872061
9,0.04,3,9777.832003872063,9777.832003872063
9,0.04,4,9777.832003872061,9777.832003872063
9,0.04,5,9777.832003872063,9777.832003872063
9,0.04,6,9777.832003872063,9777.832003872063
9,0.04,7,9777.832003872063,9777.832003872063
9,0.04,8,9777.832003872065,9777.832003872061
9,0.04,9,9777.832003872063,9777.832003872065
9,0.04,10,9777.832003872065,9777.8320008025
9,0.04,11,9777.832003872065,9777.832003872065
9,0.04,12,9777.832003872063,9777.832003872063
9,0.04,13,9777.832003872063,9777.832003872063
9,0.04,14,9777.832003872063,9777.831990801998
9,0.04,15,9777.832003872065,9665.769424229999
9,0.06,1,9812.140186341792,9812.140186341792
9,0.06,2,9812.14018634179,9812.14018634179
9,0.06,3,9812.140186341792,9812.14018634179
9,0.06,4,9812.14018634179,9812.140186341789
9,0.06,5,9812.14018634179,9812.14018634179
9,0.06,6,9812.140186341789,9812.140186341789
9,0.06,7,9812.140186341789,9812.140214974155
9,0.06,8,9812.14018634179,9812.140245834773
9,0.06,9,9812.140186341792,9812.140186341792
9,0.06,10,9812.140186341792,9812.14019073
9,0.06,11,9812.14018634179,9812.14018634179
9,0.06,12,9812.14018634179,9812.14018634179
9,0.06,13,9812.140186341789,9812.14018634179
9,0.06,14,9812.140186341792,9812.140055859
9,0.06,15,9812.140186341792,9656.812032188998
