landbase,discount_rate,flow_policy,flow_denominator,period,projected_mcf,realized_mcf,projected_revenue,realized_revenue
1,0.02,NDY,revenue,5,10197.504495872006,9385.036540257777,12602510.28225478,11527075.549592912
1,0.02,NDY,revenue,6,10197.504495872006,9072.54630808582,12775249.323609807,11527075.54951815
1,0.02,NDY,revenue,7,10197.504495872003,9387.082125065823,9856056.730491567,11527075.55625081
1,0.02,NDY,revenue,8,10197.504495871974,8817.80840643,14238241.751436915,11527075.54787106
1,0.02,NDY,revenue,9,10197.504495871975,8266.965659530757,13871736.466736086,11527075.54933975
1,0.02,NDY,revenue,10,10197.504495871985,8552.64045137,5326055.830922143,11527075.55070565
1,0.02,NDY,revenue,11,10197.504495871985,9291.133922905525,12721417.62880297,11628952.90670627
1,0.02,NDY,revenue,12,10197.504495871985,9205.72258022,12850306.64227743,11628952.914786577
1,0.02,NDY,revenue,13,10197.504495871985,9491.705355999762,12632838.246096248,11666257.979572842
1,0.02,NDY,revenue,14,10197.504495871983,9253.490252142965,12852513.217811575,11646580.866421347
1,0.02,NDY,revenue,15,11531.01401058809,9182.992632459684,15871653.70407977,11644829.551871192
1,0.02,-10%,volume,1,15108.304397098338,15108.304397098338,13232233.375446223,13232233.375446223
1,0.02,-10%,volume,2,13597.473957388505,13597.473956998583,12980639.010640183,13143653.620257363
1,0.02,-10%,volume,3,12237.72656164965,10686.828626058214,12566244.580340596,10881306.395024309
1,0.02,-10%,volume,4,11013.953905484686,9618.14576220029,12594062.00865276,10846760.929278154
1,0.02,-10%,volume,5,9912.55851493622,8656.33118314202,12161393.585695269,10774651.357310385
1,0.02,-10%,volume,6,8921.302663442599,7790.6980646166885,1171300.493322269,9751788.536508933
1,0.02,-10%,volume,7,8029.172397098337,8029.172397799999,9834910.07639527,9834910.077254733
1,0.02,-10%,volume,8,11975.899814143664,11508.308894596821,16500648.711769346,15927897.945361093
1,0.02,-10%,volume,9,10778.309832729301,10357.478006490051,14114526.836112216,14016131.708403362
